Species	Film	words_spoken
Orc	The Fellowship Of The Ring	27
Orc	The Two Towers	230
Orc	The Return Of The King	466
Dwarf	The Fellowship Of The Ring	431
Dwarf	The Two Towers	521
Dwarf	The Return Of The King	313
Elf	The Fellowship Of The Ring	2200
Elf	The Two Towers	844
Elf	The Return Of The King	693
Wizard	The Fellowship Of The Ring	2881
Wizard	The Two Towers	1273
Wizard	The Return Of The King	1807
Man	The Fellowship Of The Ring	1995
Man	The Two Towers	3990
Man	The Return Of The King	2727
Hobbit	The Fellowship Of The Ring	3658
Hobbit	The Two Towers	2463
Hobbit	The Return Of The King	2675
